rows,R@1,R@5,R@10,R@50,mAP@10,mAP
captions_descriptions,0.00082,0.00499,0.00964,0.03492,0.10731,0.03522
captions_descriptions_extend,0.00076,0.0059,0.00947,0.03485,0.1012,0.0357
captions_tags_descriptions,0.00025,0.00202,0.00566,0.02725,0.07492,0.0374
tags_descriptions,0.00124,0.0047,0.01169,0.04244,0.12389,0.02962
tags_descriptions_extend,0.00137,0.0053,0.00976,0.03436,0.07804,0.02801
tags_tags_descriptions,0.00056,0.00761,0.01254,0.05235,0.09573,0.03814
MuLan,,,,,,0.084
MusCALL,0.259,0.519,0.633,,0.36,
Contrastive_SBERT,0.068,0.254,0.384,,0.15,
Triplet_SBERT,0.067,0.236,0.366,,0.14,
